address,flipCount,extraFlipsOverThreshold,stake,extraFlipsPerStake,stakeNote,scan_url
0xff09b6ff94526b41091452ddff5e04292a56eb8a,5,2,,,,https://scan.idena.io/address/0xff09b6ff94526b41091452ddff5e04292a56eb8a
0xe966a22186d09f29b12df50978f148ccabbc098c,5,2,,,,https://scan.idena.io/address/0xe966a22186d09f29b12df50978f148ccabbc098c
0xc061a9e3dfa728033ee5de2ef9944dbde2d45f75,5,2,,,,https://scan.idena.io/address/0xc061a9e3dfa728033ee5de2ef9944dbde2d45f75
0xb9ab3a22ca922e0d599b47f70a23d787e333c061,5,2,,,,https://scan.idena.io/address/0xb9ab3a22ca922e0d599b47f70a23d787e333c061
0xadced14f2f79c4a3553b3e17c7b80ed08430069e,5,2,,,,https://scan.idena.io/address/0xadced14f2f79c4a3553b3e17c7b80ed08430069e
0xa40b909959a27433917676bee7cc73d9bc8f5ef4,5,2,,,,https://scan.idena.io/address/0xa40b909959a27433917676bee7cc73d9bc8f5ef4
0xa13ab82fcbf0fb0a1ed1c2001c56956071f277e1,5,2,,,,https://scan.idena.io/address/0xa13ab82fcbf0fb0a1ed1c2001c56956071f277e1
0x9c27574895591c4c4ee33ece49d0ad6138e8e708,5,2,,,,https://scan.idena.io/address/0x9c27574895591c4c4ee33ece49d0ad6138e8e708
0x6e9a5c5b711f630546f2456069d1c457846f60d1,5,2,,,,https://scan.idena.io/address/0x6e9a5c5b711f630546f2456069d1c457846f60d1
0x3347b3d73de95395c0fa169bb757710e24fb2220,5,2,,,,https://scan.idena.io/address/0x3347b3d73de95395c0fa169bb757710e24fb2220
0x1fd37d8e761560deef75e408229e0a29ce1fcdb8,5,2,,,,https://scan.idena.io/address/0x1fd37d8e761560deef75e408229e0a29ce1fcdb8
0x1cd1c501ae013cafe7ac9a4462f157db89f51f96,5,2,,,,https://scan.idena.io/address/0x1cd1c501ae013cafe7ac9a4462f157db89f51f96
0x0e10f29bb77cc7f5adbdd180e62aecf2c97449ee,5,2,,,,https://scan.idena.io/address/0x0e10f29bb77cc7f5adbdd180e62aecf2c97449ee
0xcbb059161d6656fd90cc1e677be1f6e1b5198247,4,1,,,,https://scan.idena.io/address/0xcbb059161d6656fd90cc1e677be1f6e1b5198247
0xcaeff1b6290b7e27dd15af96396d61cc9bf43b43,4,1,,,,https://scan.idena.io/address/0xcaeff1b6290b7e27dd15af96396d61cc9bf43b43
0xafa56a9f2a2c87839760a663b33771f48c311077,4,1,,,,https://scan.idena.io/address/0xafa56a9f2a2c87839760a663b33771f48c311077
0x9a480ac094cd4579d9c5f4994217b1572c22937a,4,1,,,,https://scan.idena.io/address/0x9a480ac094cd4579d9c5f4994217b1572c22937a
0x8e690553a7bf528ecf099a7229c07deec4250e2c,4,1,,,,https://scan.idena.io/address/0x8e690553a7bf528ecf099a7229c07deec4250e2c
0x7e81349fb7e30d51ec117a2ebf81f332df497d14,4,1,,,,https://scan.idena.io/address/0x7e81349fb7e30d51ec117a2ebf81f332df497d14
0x698d6b964c967cf2a38be696f1ed5ca518bb3887,4,1,,,,https://scan.idena.io/address/0x698d6b964c967cf2a38be696f1ed5ca518bb3887
0x153bd8efdd09cf0df633bf1df922ad2463dcf692,4,1,,,,https://scan.idena.io/address/0x153bd8efdd09cf0df633bf1df922ad2463dcf692
